ztf_id,n_total,n_g,n_r,span,max_gap,median_gap,mag_range,frac_imputed
ZTF19aclofmz,81,35,46,57.8646643999964,10.083645799662918,0.043726850068196654,2.8174649999999986,0.0
ZTF19aclthzj,35,20,15,29.856319500133395,5.010694500058889,0.8744502500630915,1.4167099999999984,0.0
ZTF19acmbekd,11,5,6,17.08103010011837,5.008692099712789,1.5480845000129193,2.0938039999999987,0.0
ZTF19acmbiad,22,7,15,82.72856480022892,19.872476799879223,2.97890039999038,2.427568000000001,0.0
ZTF19acmblbi,11,4,7,47.98467590007931,24.116840300150216,2.994432899868116,2.910903000000001,0.0
ZTF19acmvrsw,13,4,9,40.935624999925494,14.907025400083512,2.9808333499822766,1.5648510000000009,0.0
ZTF19acmelor,12,5,7,66.92063659988344,34.9038773002103,2.979432800319046,1.596143999999999,0.0
ZTF19acjwqvo,29,12,17,51.83652770007029,10.936319399625063,0.9839294501580298,2.424617999999999,0.0
ZTF19aclyezb,25,8,17,24.00716429995373,4.914745300076902,0.6005440000444651,1.1755260000000014,0.0
ZTF19acmwkul,16,6,10,62.93938650004566,20.88840280007571,2.9836226999759674,2.0686820000000026,0.0
ZTF19acnfjyw,72,39,33,81.97906249994412,10.001736199948937,0.05827550031244755,3.1513919999999978,0.0
ZTF19acnzkph,28,13,15,101.93427080009133,17.03935190010816,2.8498843000270426,3.764240000000001,0.0
ZTF19acnjwgm,74,34,40,86.8578704004176,9.999016200192273,0.8895022999495268,3.417469999999998,0.0
ZTF19acnqsui,14,4,10,60.89361110003665,15.987662100233138,2.9783334000967443,1.9677430000000022,0.0
ZTF19acoaiub,25,12,13,82.81758099980652,13.04232639959082,2.9308159498032182,2.404638000000002,0.0
ZTF19acpmuwu,22,13,9,46.986041700001806,16.921689900103956,0.9971990999765694,2.1052849999999985,0.0
ZTF19acnkeji,46,19,27,55.777442099992186,10.086169000249356,0.840671299956739,2.2029400000000017,0.0
ZTF19acshfvz,14,5,9,44.840428200084716,15.862245400436223,1.0712383999489248,1.5225979999999986,0.0
ZTF19acojuzv,38,12,26,108.72255779989064,18.057337900158018,1.9723032000474632,3.416097999999998,0.0
ZTF19acojxzo,31,9,22,79.77125000022352,14.886863500345498,1.8760938001796603,3.001650999999999,0.0
